Symbol,Shares,Investment,Current_Value,Profit,Current_Price,Currency,Trail_Pct,Trail_Stop_IBKR,Trail_Stop,Entry_Date,Buy_Price,Profit_Pct
3USL,13.0,2149.56,2065.3704376220703,-84.18956237792963,158.87464904785156,EUR,10.0,150.651,150.651,,165.35076923076923,-3.916595134721973
CLS,1.0,283.0,334.239990234375,51.239990234375,334.239990234375,USD,10.5,310.31,310.31,,283.0,18.106003616386925
CRWD,4.0,841.0,828.8800048828125,-12.1199951171875,207.22000122070312,USD,12.81,190.33,190.33,,210.25,-1.4411409176203924
GEV,1.0,923.0,949.2000122070312,26.20001220703125,949.2000122070312,USD,5.69,927.38,927.38,,923.0,2.8385712033619988
MU,2.0,1911.0,2030.3000488281248,119.30004882812477,1015.1500244140624,USD,6.04,979.42,979.42,,955.5,6.242807369341956
ORCL,8.0,1177.0,1294.0799560546875,117.0799560546875,161.75999450683594,USD,11.0,146.98,146.98,,147.125,9.94731997066164
PANW,6.0,2042.0,2014.43994140625,-27.56005859375,335.739990234375,USD,7.05,315.87,315.87,,340.3333333333333,-1.3496600682541626
PBR,120.0,2149.0004,2514.0000915527344,364.9996915527345,20.950000762939453,USD,6.5,19.87,19.87,,17.908336666666667,16.984626506013424
RTX,0.0164,3.2738000000000005,3.240475939941407,-0.03332406005859356,197.58999633789065,USD,6.66,187.52,187.52,,199.6219512195122,-1.0179015229578336
TVBETETF.RO,3253.0,193018.99,0.0,0.0,0.0,,0.0,0.0,56.81,2026-09-03,59.33568705810021,0.0
UBER,6.0,445.0,428.88002014160156,-16.119979858398438,71.4800033569336,USD,4.47,69.86,69.86,,74.16666666666667,-3.622467383909761
