Ticker,Price,Trend,RSI,RSI_Status,ATR_14,Stop_Loss,SMA_50,SMA_200,VIX_Tag,Date
AMZN,230.28,Strong Bullish,69.87,Neutral,4.69,220.91,229.08,215.1,Normal,2025-12-12 15:40
DNN,2.76,Strong Bullish,73.4,Overbought,0.13,2.5,2.74,2.04,Normal,2025-12-12 15:40
LNG,191.6,Strong Bearish,21.22,Oversold,4.62,182.37,214.26,226.52,Normal,2025-12-12 15:40
QBTS,27.98,Bullish Pullback,70.4,Overbought,2.14,23.7,29.9,17.92,Normal,2025-12-12 15:40
UUUU,15.82,Bullish Pullback,67.8,Neutral,1.04,13.74,17.63,9.84,Normal,2025-12-12 15:40
MSFT,483.47,Bullish Pullback,53.16,Neutral,9.34,464.78,504.74,470.02,Normal,2025-12-12 15:40
FCX,48.11,Strong Bullish,94.73,Overbought,1.35,45.41,41.69,40.5,Normal,2025-12-12 15:40
MSTR,183.3,Strong Bearish,54.12,Neutral,12.99,157.33,246.07,328.06,Normal,2025-12-12 15:40
NVDA,180.93,Bullish Pullback,50.43,Neutral,5.96,169.0,187.12,155.78,Normal,2025-12-12 15:41
DVLT,1.44,Bullish Pullback,42.5,Neutral,0.25,0.93,2.0,1.02,Normal,2025-12-12 15:41
TSM,304.85,Strong Bullish,75.76,Overbought,8.69,287.48,292.76,229.31,Normal,2025-12-12 15:41
MARA,11.84,Strong Bearish,66.0,Neutral,0.8,10.24,15.91,15.45,Normal,2025-12-12 15:41
SXRZ.DE,281.0,Bullish Pullback,57.01,Neutral,3.12,274.76,282.43,248.59,Normal,2025-12-12 15:41
URG,1.25,Bullish Pullback,56.6,Neutral,0.08,1.09,1.5,1.16,Normal,2025-12-12 15:41
TE,5.87,Strong Bullish,79.66,Overbought,0.67,4.52,3.97,2.06,Normal,2025-12-12 15:41
META,652.71,Strong Bearish,71.99,Overbought,15.57,621.57,669.12,670.66,Normal,2025-12-12 15:41
MELI,2019.81,Strong Bearish,60.73,Neutral,70.57,1878.67,2128.31,2271.74,Normal,2025-12-12 15:41
SMR,21.22,Strong Bearish,58.76,Neutral,1.86,17.49,31.74,30.57,Normal,2025-12-12 15:41
ORCL,198.85,Strong Bearish,42.09,Neutral,11.31,176.23,249.12,212.29,Normal,2025-12-12 15:41
APLD,30.76,Strong Bullish,82.63,Overbought,2.44,25.88,29.85,15.41,Normal,2025-12-12 15:41
AMPX,11.44,Bullish Pullback,60.48,Neutral,0.83,9.77,12.06,6.74,Normal,2025-12-12 15:41
