Ticker,Price,Trend,RSI,RSI_Status,ATR_14,Stop_Loss,SMA_50,SMA_200,VIX_Tag,Date
QQQ,621.53,Strong Bullish,82.17,Overbought,8.52,604.48,613.18,548.71,Normal,2025-12-11
INTC,39.62,Strong Bullish,66.53,Neutral,2.12,35.38,38.06,26.5,Normal,2025-12-11
NVDA,177.58,Bullish Pullback,45.99,Neutral,5.96,165.65,187.05,155.77,Normal,2025-12-11
AMZN,230.03,Strong Bullish,69.35,Neutral,4.63,220.76,229.08,215.1,Normal,2025-12-11
TSLA,442.74,Strong Bullish,72.43,Overbought,14.28,414.17,435.04,345.17,Normal,2025-12-11
AMD,213.56,Bullish Pullback,56.47,Neutral,9.12,195.32,229.14,155.36,Normal,2025-12-11
SPY,685.76,Strong Bullish,84.34,Overbought,6.46,672.84,674.09,617.68,Normal,2025-12-11
GOOGL,315.82,Strong Bullish,68.55,Neutral,8.91,298.0,280.29,207.86,Normal,2025-12-11
AAPL,276.33,Strong Bullish,65.27,Neutral,4.79,266.74,267.26,228.41,Normal,2025-12-11
MSFT,481.09,Bullish Pullback,51.72,Neutral,9.07,462.96,504.69,470.0,Normal,2025-12-11
