Symbol,OrderType,Action,Total_Qty,Aux_Price,Stop_Price,Trail_Pct,Calculated_Stop
RDZN,TRAIL,SELL,1000.0,1.7976931348623157e+308,0.99,51.2,0.99
TSM,TRAIL,SELL,2.0,1.7976931348623157e+308,366.48,10.98,366.48
CRSP,TRAIL,SELL,130.0,1.7976931348623157e+308,45.89,18.27,45.89
TSM,LMT,BUY,3.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
NVDA,TRAIL,SELL,5.0,1.7976931348623157e+308,200.07,10.0,200.07
TSM,LMT,BUY,3.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
CVS,TRAIL,SELL,100.0,1.7976931348623157e+308,85.9,7.4,85.9
NVDA,LMT,BUY,10.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
WPM,TRAIL,SELL,30.0,1.7976931348623157e+308,127.84,12.2,127.84
APLD,TRAIL,SELL,100.0,1.7976931348623157e+308,33.92,27.24,33.92
RBRK,TRAIL,SELL,50.0,1.7976931348623157e+308,52.58,16.29,52.58
AVGO,TRAIL,SELL,10.0,1.7976931348623157e+308,398.28,9.0,398.28
CYTK,TRAIL,SELL,112.0,1.7976931348623157e+308,70.18,13.89,70.18
NVDA,LMT,BUY,5.0,0.0,1.7976931348623157e+308,1.7976931348623157e+308,0.0
ORCL,TRAIL,SELL,10.0,1.7976931348623157e+308,172.1,14.01,172.1
