Ticker,Price,Trend,RSI,RSI_Status,ATR_14,Stop_Loss,SMA_50,SMA_200,VIX_Tag,Date
RTX,169.73,Strong Bullish,67.27,Neutral,3.51,162.71,162.75,141.54,Normal,2025-12-13 19:11
SUN,51.11,Strong Bullish,36.42,Neutral,0.98,49.14,50.03,49.74,Normal,2025-12-13 19:11
BLK,1034.64,Bullish Pullback,76.27,Overbought,18.75,997.14,1035.45,979.21,Normal,2025-12-13 19:11
LAES,4.03,Bullish Pullback,57.7,Neutral,0.38,3.26,5.12,3.51,Normal,2025-12-13 19:11
HOOD,113.52,Bullish Pullback,59.13,Neutral,7.24,99.05,125.83,87.9,Normal,2025-12-13 19:11
PLTR,174.39,Strong Bullish,86.03,Overbought,6.22,161.96,170.49,137.19,Normal,2025-12-13 19:11
RBLX,84.08,Strong Bearish,48.58,Neutral,3.52,77.04,105.07,94.61,Normal,2025-12-13 19:11
CRM,249.12,Strong Bullish,82.72,Overbought,6.49,236.13,233.47,244.94,Normal,2025-12-13 19:11
AAPL,264.37,Strong Bullish,62.9,Neutral,4.2,255.97,254.34,217.19,Normal,2025-12-13 19:11
OMC,76.24,Strong Bullish,65.55,Neutral,2.2,71.84,71.63,71.19,Normal,2025-12-13 19:11
PBR,11.57,Bullish Pullback,33.71,Neutral,0.27,11.03,11.68,11.5,Normal,2025-12-13 19:11
RGTI,24.55,Bullish Pullback,56.0,Neutral,2.14,20.26,33.04,17.94,Normal,2025-12-13 19:11
ARX,14.89,Neutral,78.05,Overbought,0.7,13.48,12.88,,Normal,2025-12-13 19:11
AMD,200.24,Bullish Pullback,55.95,Neutral,8.64,182.96,218.62,148.15,Normal,2025-12-13 19:11
IONQ,47.83,Bullish Pullback,65.55,Neutral,3.47,40.88,54.73,40.84,Normal,2025-12-13 19:11
BA,194.16,Strong Bullish,73.27,Overbought,5.42,183.32,193.18,191.97,Normal,2025-12-13 19:11
VRT,153.21,Bullish Pullback,51.09,Neutral,9.35,134.5,167.97,121.53,Normal,2025-12-13 19:11
DXCM,63.61,Bearish Rally,78.69,Overbought,1.92,59.76,60.9,70.77,Normal,2025-12-13 19:11
VG,5.84,Strong Bearish,33.92,Neutral,0.39,5.05,8.09,11.05,Normal,2025-12-13 19:11
UEC,12.27,Bullish Pullback,61.64,Neutral,0.9,10.47,12.68,8.54,Normal,2025-12-13 19:11
NFE,1.2,Strong Bearish,52.53,Neutral,0.15,0.9,1.44,3.56,Normal,2025-12-13 19:11
NNE,33.64,Bullish Pullback,66.99,Neutral,2.49,28.67,38.26,31.87,Normal,2025-12-13 19:11
VST,161.6,Strong Bearish,51.35,Neutral,7.16,147.28,176.51,162.57,Normal,2025-12-13 19:12
CRC,45.9,Strong Bullish,74.78,Overbought,1.1,43.7,45.23,42.97,Normal,2025-12-13 19:12
OKLO,83.05,Bullish Pullback,49.45,Neutral,8.42,66.21,113.03,67.4,Normal,2025-12-13 19:12
UAL,101.5,Strong Bullish,76.31,Overbought,3.3,94.89,93.65,83.41,Normal,2025-12-13 19:12
PRAX,255.36,Strong Bullish,78.68,Overbought,20.39,214.58,160.65,70.56,Normal,2025-12-13 19:12
HD,341.67,Strong Bearish,64.03,Neutral,7.92,325.84,348.72,351.52,Normal,2025-12-13 19:12
MGNX,1.33,Strong Bearish,50.0,Neutral,0.08,1.18,1.49,1.52,Normal,2025-12-13 19:12
PAAS,47.24,Strong Bullish,83.02,Overbought,2.31,42.61,37.55,29.77,Normal,2025-12-13 19:12
CHDN,110.92,Strong Bullish,97.07,Overbought,2.32,106.28,95.88,96.39,Normal,2025-12-13 19:12
GOOG,294.99,Strong Bullish,58.09,Neutral,8.4,278.2,268.01,199.16,Normal,2025-12-13 19:12
WDC,167.52,Strong Bullish,74.73,Overbought,9.42,148.68,139.16,79.34,Normal,2025-12-13 19:12
CTRA,24.96,Strong Bullish,54.73,Neutral,0.59,23.77,23.74,23.51,Normal,2025-12-13 19:12
SHOP,155.98,Strong Bullish,65.53,Neutral,6.21,143.56,151.65,120.52,Normal,2025-12-13 19:12
